EDTA,0,EDTA2,3555
EDTA,10,EDTA2,3749
EDTA,11,EDTA2,1061
EDTA,12,EDTA2,1128
EDTA,13,EDTA2,1233
EDTA,14,EDTA2,1185
EDTA,15,EDTA2,1222
EDTA,16,EDTA2,1251
EDTA,17,EDTA2,1267
EDTA,19,EDTA2,1377
EDTA,20,EDTA2,1602
EDTA,21,EDTA2,1706
EDTA,22,EDTA2,1673
EDTA,23,EDTA2,1752
EDTA,24,EDTA2,1602
EDTA,25,EDTA2,1832
EDTA,29,EDTA2,3555
EDTA,30,EDTA2,1884
EDTA,31,EDTA2,2022
EDTA,32,EDTA2,2120
EDTA,33,EDTA2,2046
EDTA,34,EDTA2,2165
EDTA,39,EDTA2,2005
EDTA,40,EDTA2,2794
EDTA,41,EDTA2,2718
EDTA,42,EDTA2,2741
EDTA,43,EDTA2,2804
EDTA,49,EDTA2,2794
EDTA,50,EDTA2,3379
EDTA,51,EDTA2,2756
EDTA,52,EDTA2,2964
EDTA,53,EDTA2,3194
EDTA,54,EDTA2,3224
EDTA,59,EDTA2,3379
EDTA,60,EDTA2,1625
EDTA,61,EDTA2,1734
EDTA,63,EDTA2,1625
EDTA,66,EDTA2,1694
EDTA,70,EDTA2,2430
EDTA,71,EDTA2,2371
EDTA,72,EDTA2,2359
EDTA,73,EDTA2,1455
EDTA,74,EDTA2,1401
EDTA,75,EDTA2,2430
EDTA,76,EDTA2,1159
EDTA,78,EDTA2,1543
EDTA,79,EDTA2,2411
EDTA,80,EDTA2,2316
EDTA,81,EDTA2,2337
EDTA,82,EDTA2,2578
EDTA,83,EDTA2,2509
EDTA,84,EDTA2,1486
EDTA,85,EDTA2,1504
EDTA,86,EDTA2,1464
EDTA,87,EDTA2,1527
EDTA,88,EDTA2,2623
EDTA,89,EDTA2,3555
EDTA,90,EDTA2,3442
EDTA,91,EDTA2,2235
EDTA,92,EDTA2,3636
EDTA,93,EDTA2,3555
EDTA,94,EDTA2,1982
EDTA,95,EDTA2,3461
EDTA,96,EDTA2,3538
EDTA,99,EDTA2,3691
