ICD-10,C02.9,RR19,115
ICD-10,C15,RR19,104
ICD-10,C15.0,RR19,104
ICD-10,C16,RR19,104
ICD-10,C18,RR19,105
ICD-10,C18.0,RR19,105
ICD-10,C18.2,RR19,105
ICD-10,C18.7,RR19,105
ICD-10,C20,RR19,105
ICD-10,C21,RR19,105
ICD-10,C25,RR19,115
ICD-10,C34,RR19,106
ICD-10,C41.2,RR19,115
ICD-10,C43,RR19,102
ICD-10,C43.5,RR19,102
ICD-10,C44,RR19,101
ICD-10,C44.1,RR19,101
ICD-10,C44.2,RR19,101
ICD-10,C44.3,RR19,101
ICD-10,C44.4,RR19,101
ICD-10,C44.5,RR19,101
ICD-10,C44.9,RR19,101
ICD-10,C46.0,RR19,101
ICD-10,C47.9,RR19,115
ICD-10,C50,RR19,103
ICD-10,C50.9,RR19,103
ICD-10,C51,RR19,115
ICD-10,C53,RR19,115
ICD-10,C54.1,RR19,115
ICD-10,C55,RR19,115
ICD-10,C56,RR19,115
ICD-10,C60.1,RR19,115
ICD-10,C61,RR19,108
ICD-10,C64,RR19,107
ICD-10,C66,RR19,107
ICD-10,C67,RR19,107
ICD-10,C67.9,RR19,107
ICD-10,C68.9,RR19,107
ICD-10,C71,RR19,113
ICD-10,C73,RR19,115
ICD-10,C79.1,RR19,107
ICD-10,C81.9,RR19,111
ICD-10,C83.1,RR19,111
ICD-10,C83.3,RR19,111
ICD-10,C85.7,RR19,111
ICD-10,C88.0,RR19,110
ICD-10,C90.0,RR19,110
ICD-10,C91,RR19,110
ICD-10,C91.0,RR19,110
ICD-10,C91.1,RR19,110
ICD-10,C91.4,RR19,110
ICD-10,C92,RR19,110
ICD-10,C92.1,RR19,110
ICD-10,C93.1,RR19,110
ICD-10,C95,RR19,110
ICD-10,C96.2,RR19,110
